Name, value
joyful orange,#945914
inferno,#832e00
swirl,#e4bb98
swirl2,#C48745
cabinet,#643c26
silver,#bcc1c6
floor_grout,#cca83e
outlet,#B09C87
pic_blue,#575CB7
taupe,#805E19
cotto,#7B5618
sea_foam,#19A49F
aquamarine,#11616F
pale_umber,#B8A38F
yellow,#BF9D3E
orange,#8A3103
caicos_blue,#85CAB9
gu_avalanche,#E4D8D6
gu_warm_gray,#C7C6C2
gu_white,#FCFDEE
gu_biscuit,#E2D1C4
gu_silver,#A0A097
gu_pearl_gray,#747378
gu_light_almond,#EEDDC9
gu_bone,#CFB8AB
gu_black,#323131
gu_chamois,#978774
gu_acorn,#A57A61
gu_caramel,#86604D
gu_pecan,#774F3E
gu_brick_red,#6C4D4B
gu_mahogany,#513633
g_charcoal,#555454
g_chocolate,#4E3E37
g_aquamarine,#8B9B98
g_mint,#C8CDC6
g_hickory,#85695E
gu_mocha,#7D665F
paprika,#671906
rope,#B59A7E
green1,#516F51
green2,#4B6547
green3,#294145
koi,#ECAC67
tuolumne_meadows,#E9C56E
bryce_canyon,#D67413
haystack,#DDBB5F
sunflower,#D39C4F
antique,#6B3518
lf_red_terra_cotta,#9D230E
lf_red_wine,#542024
lf_caramel,#612815
lf_clay_terra_cotta,#A65A32
lf_cream_white,#F0F0D6
lf_washed_yellow,#FEA31E
lf_mustard_yellow,#DF9920
lf_brilliant_carrot,#E45719
